Outside Flowers (wilted):
00ce red tulips (wilted)
00cf white tulips (wilted)
00d0 yellow tulips (wilted)
00d1 pink tulips (wilted)
00d2 purple tulips (wilted)
00d3 black tulips (wilted)
00d4 orange tulips (wilted)
00d5 white pansies (wilted)
00d6 yellow pansies (wilted)
00d7 red pansies (wilted)
00d8 purple pansies (wilted)
00d9 orange pansies (wilted)
00da blue pansies (wilted)
00db white cosmos (wilted)
00dc red cosmos (wilted)
00dd yellow cosmos (wilted)
00de pink cosmos (wilted)
00df orange cosmos (wilted)
00e0 black cosmos (wilted)
00e1 red roses (wilted)
00e2 white roses (wilted)
00e3 yellow roses (wilted)
00e4 pink roses (wilted)
00e5 orange roses (wilted)
00e6 purple roses (wilted)
00e7 black roses (wilted)
00e8 blue roses (wilted)
00e9 gold roses (wilted)
00ea red carnations (wilted)
00eb pink carnations (wilted)
00ec white carnations (wilted)
00ed white lilies (wilted)
00ee yellow lilies (wilted)
00ef red lilies (wilted)
00f0 orange lilies (wilted)
00f1 pink lilies (wilted)
00f2 black lilies (wilted)
00f3 purple violets (wilted)
00f4 blue violets (wilted)
00f5 white violets (wilted)
00f6 yellow violets (wilted)
00f7 Jacob's ladder (wilted)
00f8 rafflesia (wilted)
